Date,Open,High,Low,Close
01/05/2015,35.75,38.08,35.49,37.81
01/06/2015,37.8,39.61,37.17,38.25
01/07/2015,38.13,38.32,36.72,36.84
01/08/2015,36.48,36.49,34.76,35.05
01/09/2015,34.94,36.76,34.94,35.73
01/12/2015,39.15,41.41,38.91,40.75
01/13/2015,40.19,40.36,38.41,39.98
01/14/2015,40.63,42.74,40.56,41.53
01/15/2015,41.49,45.6,41.48,44.44
01/16/2015,44.53,44.55,40.88,41.81
01/20/2015,41.67,41.72,37.85,38.01
01/21/2015,37.98,38.37,36.85,38.07
01/22/2015,37.5,37.5,35.4,35.67
01/23/2015,35.88,36.52,35.65,35.91
01/26/2015,36.76,40.16,36.76,39.98
01/27/2015,41.36,45.76,38.85,42.25
01/28/2015,28.86,30.88,28.42,30.83
01/29/2015,30.46,30.46,28.36,29.26
01/30/2015,29.43,31.59,29.28,31.57
02/02/2015,31.92,32.26,29.12,29.13
02/03/2015,29.21,29.37,27.54,27.59
02/04/2015,27.79,28.45,27.45,28.41
02/05/2015,28.33,28.57,27.35,27.36
02/06/2015,27.31,28.78,26.84,28.73
02/09/2015,29.81,29.81,27.38,27.58
02/10/2015,27.28,27.29,25.9,25.91
02/11/2015,26.11,26.53,25.87,26.16
02/12/2015,26.37,27.49,26.04,26.05
02/13/2015,26.36,26.66,25.67,25.87
02/17/2015,27.37,27.74,26.78,26.78
02/18/2015,27.07,27.12,25.17,25.21
02/19/2015,25.39,25.54,24.91,25.11
02/20/2015,25.14,25.64,25.01,25.14
02/23/2015,25.45,26.95,25.13,26.76
02/24/2015,26.98,27.53,26.18,26.27
02/25/2015,26.36,29.12,26.02,28.04
02/26/2015,27.94,30.98,27.93,28.7
02/27/2015,28.9,29.65,28.69,29.32
03/02/2015,30.17,30.17,28.3,28.3
03/03/2015,28.5,28.78,27.86,27.86
03/04/2015,28.13,28.77,27.98,28
03/05/2015,28.08,30.27,28.08,28.77
03/06/2015,28.41,29.95,28.41,29.8
03/09/2015,30.63,30.74,27,27.02
03/10/2015,27.5,28.7,27.36,28.1
03/11/2015,28.28,29.82,28.25,28.79
03/12/2015,28.82,29.04,26.77,27.08
03/13/2015,27.15,28.52,26.97,27.7
03/16/2015,27.65,28.03,25.71,25.72
03/17/2015,26.04,26.21,25.48,26.11
03/18/2015,26.61,27.18,24.47,24.67
03/19/2015,25.06,25.3,24.87,25.26
03/20/2015,25.33,25.35,24.38,24.94
03/23/2015,26.59,26.78,26.13,26.38
03/24/2015,26.87,27.14,26.3,26.63
03/25/2015,27.03,30.44,27.01,30.43
03/26/2015,31.19,31.76,30.36,30.46
03/27/2015,30.83,32.17,30.77,32.17
03/30/2015,33.12,33.16,29.95,29.95
03/31/2015,30.41,31.32,30.34,31.23
04/01/2015,31.43,32.78,31.32,31.95
04/02/2015,31.95,32.11,30.84,30.88
04/06/2015,33.48,33.48,31.55,31.59
04/07/2015,32.03,32.7,31.74,32.59
04/08/2015,32.94,33.59,32.82,33.42
04/09/2015,33.61,34.45,33.48,33.54
04/10/2015,34,34.76,33.75,33.75
04/13/2015,35.71,36.03,35.28,35.82
04/14/2015,35.87,36.23,35.47,35.58
04/15/2015,35.53,35.85,34.72,34.91
04/16/2015,35.06,35.36,34.04,34.34
04/17/2015,34.5,36.7,34.49,36.65
04/20/2015,36.62,36.68,32.37,32.47
04/21/2015,32.36,33.41,32.36,33.06
04/22/2015,33.22,33.66,32.28,32.35
04/23/2015,32.88,33.02,31.91,32.17
04/24/2015,32.01,34.79,32,34.27
04/27/2015,34.49,35.23,33.81,34.34
04/28/2015,26.9,27.98,25.47,27.63
04/29/2015,27.62,28.68,26.97,27.74
04/30/2015,27.92,31.07,27.86,30.32
05/01/2015,30.03,30.07,27.56,28.06
05/04/2015,28.59,28.63,25.79,25.87
05/05/2015,26.26,27.62,26.26,27.44
05/06/2015,27.46,30.5,27.31,29.43
05/07/2015,29.46,29.88,27.1,27.16
05/08/2015,26.62,26.62,24.74,24.8
05/11/2015,25.88,26.38,24.95,25.18
05/12/2015,25.36,26.28,24.66,25.24
05/13/2015,25.04,25.26,24.54,24.77
05/14/2015,24.47,24.51,23.89,23.96
05/15/2015,24.1,24.89,23.08,23.2
05/18/2015,23.36,23.36,21,21.24
05/19/2015,21.54,21.83,20.7,21
05/20/2015,21.14,21.44,20.07,20.48
05/21/2015,20.73,20.76,19.63,19.76
05/22/2015,19.78,20.16,19.48,19.52
05/26/2015,21.08,23.38,21.04,22.76
05/27/2015,22.52,22.59,21.06,21.31
05/28/2015,21.53,21.81,20.97,21
05/29/2015,21.25,21.89,21.02,21.22
06/01/2015,21.83,22.37,20.84,21.03
06/02/2015,21.41,22.17,20.98,21.1
06/03/2015,21.13,21.46,20.81,21.07
06/04/2015,21.52,22.71,20.86,22.24
06/05/2015,22.25,22.93,22.01,22.18
06/08/2015,22.91,23.87,22.41,22.89
06/09/2015,23.57,24.31,22.42,22.7
06/10/2015,22.73,22.87,20.89,20.95
06/11/2015,20.97,21.41,20.7,21.19
06/12/2015,21.61,21.88,21.11,21.48
06/15/2015,22.37,23.03,21.33,21.5
06/16/2015,21.89,22.26,21.16,21.32
06/17/2015,21.48,22.51,21.24,21.38
06/18/2015,21.46,21.57,20.58,20.84
06/19/2015,21.26,21.48,20.99,21.27
06/22/2015,21.79,21.79,20.17,20.17
06/23/2015,20.49,20.97,20.35,20.45
06/24/2015,20.75,21.67,20.65,21.3
06/25/2015,21.53,21.99,21.15,21.62
06/26/2015,21.91,22.65,21.56,22.59
06/29/2015,24.19,26.77,23.74,26.77
06/30/2015,26.51,26.53,24.55,24.93
07/01/2015,24.93,24.93,23.53,23.57
07/02/2015,23.63,23.94,23.48,23.72
07/06/2015,25.67,25.73,24.69,24.75
07/07/2015,25.02,27.79,24.96,25.66
07/08/2015,26.6,30.07,26.58,30.07
07/09/2015,29.15,33.53,28.17,33.53
07/10/2015,32.13,32.13,29.49,29.63
07/13/2015,30.78,30.97,28.25,28.36
07/14/2015,28.13,28.57,27.38,27.54
07/15/2015,27.57,27.71,27.01,27.4
07/16/2015,26.89,27.17,26.37,26.46
07/17/2015,26.39,30.54,26.39,29.67
07/20/2015,29.47,31.83,29.47,30.18
07/21/2015,30.47,32.33,28.4,29.26
07/22/2015,23.57,23.57,21.77,22.27
07/23/2015,22.32,23.19,21.53,23.01
07/24/2015,22.98,23.89,22.12,23.53
07/27/2015,25.31,26.27,25.08,25.61
07/28/2015,25.22,25.58,22.53,22.75
07/29/2015,23.15,23.38,22.45,22.45
07/30/2015,22.81,24.1,22.71,24.07
07/31/2015,24.32,27.75,24.31,27.74
08/03/2015,28.37,32.87,27.19,31.06
08/04/2015,31.55,47.13,31.55,34.32
08/05/2015,35.9,36.98,29.41,31.71
08/06/2015,30.9,32.49,30.62,31.3
08/07/2015,31.57,31.72,30.64,31.17
08/10/2015,31.5,31.5,28.25,28.37
08/11/2015,30.03,36.51,29.9,35.87
08/12/2015,37.12,52.42,34.27,34.35
08/13/2015,33.88,34.55,30.63,31.3
08/14/2015,32.15,32.25,30.04,30.15
08/17/2015,31.21,31.73,29.17,29.74
08/18/2015,30.17,30.49,28.86,29.24
08/19/2015,29.66,31.1,29.19,29.74
08/20/2015,30.89,35.02,30.58,34.47
08/21/2015,36.39,52.7,36.39,52.7
08/24/2015,52.7,90.11,38.24,62.6
08/25/2015,47.62,59.63,46.38,59.63
08/26/2015,54.15,55.45,44.42,44.5
08/27/2015,41.31,44.78,38.65,39.69
08/28/2015,40.81,41.91,39.14,39.49
08/31/2015,41.59,42.45,39.05,40.39
09/01/2015,44.41,52,43.8,50.49
09/02/2015,47.79,47.89,41.62,41.62
09/03/2015,41.62,43.51,40.38,42.87
09/04/2015,44.51,46.92,43.44,45.31
09/08/2015,45.28,45.31,42.17,42.19
09/09/2015,41.41,43.47,39.73,42.52
09/10/2015,42.8,43.08,38.4,38.58
09/11/2015,39.51,40.83,36.75,36.77
09/14/2015,36.75,37.83,35.44,36.78
09/15/2015,37,38.02,33.9,34.25
09/16/2015,34.8,35.13,33.12,33.12
09/17/2015,34.27,35.54,31.39,34.55
09/18/2015,36.55,36.56,34.55,35.28
09/21/2015,35.64,35.83,32.2,32.29
09/22/2015,34.68,36.92,34.24,35.79
09/23/2015,35.84,35.94,34.01,34.18
09/24/2015,35.75,38.84,35.58,35.87
09/25/2015,34.75,36.41,34.31,35.96
09/28/2015,38.97,43.66,38.22,43.63
09/29/2015,43.4,47.12,41.06,45.25
09/30/2015,43.85,44.06,40.07,40.23
10/01/2015,41.4,46.45,40.85,40.95
10/02/2015,42.57,44.18,38.99,39.7
10/05/2015,41.18,42.1,38.39,38.84
10/06/2015,38.98,40.05,38.04,38.27
10/07/2015,38.36,40.41,38.19,38.71
10/08/2015,39.37,41.45,39.31,39.67
10/09/2015,39.34,40.04,37.22,37.48
10/12/2015,41.19,41.72,39.23,39.65
10/13/2015,40.16,40.3,38.29,38.42
10/14/2015,38.87,41,38.48,40.32
10/15/2015,39.83,39.98,37.72,37.75
10/16/2015,37.9,39.33,37.78,38.73
10/19/2015,38.55,39.49,36.44,36.45
10/20/2015,36.77,37.91,35.6,35.75
10/21/2015,35.98,37.19,35,36.17
10/22/2015,35.66,36.12,32.88,32.88
10/23/2015,33.01,34.11,32.18,33.68
10/26/2015,35.33,41.57,35.33,41.37
10/27/2015,41.13,41.32,39.37,40.09
10/28/2015,28.08,28.23,25.88,26.78
10/29/2015,27.17,27.68,26.3,26.55
10/30/2015,26.53,27.65,25.95,26.32
11/02/2015,27.41,27.47,25.24,25.3
11/03/2015,25.59,25.99,25.02,25.03
11/04/2015,24.97,26.32,24.82,25.23
11/05/2015,25.34,26.69,25.33,25.57
11/06/2015,25.47,26.8,25.46,26.69
11/09/2015,27.59,28.65,27.08,27.19
11/10/2015,29.48,31.08,28.65,30.57
11/11/2015,30.54,32.44,29.03,29.51
11/12/2015,29.76,29.95,28.9,29.32
11/13/2015,29.65,32.84,29.6,32.26
11/16/2015,34.27,34.31,30.64,30.71
11/17/2015,30.5,31.66,29.7,30.42
11/18/2015,29.15,30.3,28.3,28.39
11/19/2015,28.68,29.44,27.17,27.53
11/20/2015,27.75,27.9,25.48,25.89
11/23/2015,26.6,26.85,25.69,25.71
11/24/2015,26.22,26.42,25.04,25.38
11/25/2015,25.44,25.84,25.14,25.33
11/27/2015,25.86,26.18,24.99,25.1
11/30/2015,26.16,26.35,24.69,24.69
12/01/2015,24.71,25.76,24.1,25.05
12/02/2015,25.06,25.75,24.19,25.42
12/03/2015,25.57,28.41,24.83,27.46
12/04/2015,26.83,26.87,23.05,23.36
12/07/2015,24.22,25.69,24.21,24.94
12/08/2015,25.54,26.55,25.01,25.25
12/09/2015,25.85,29.5,25.8,28.54
12/10/2015,28.55,29.48,26.43,27.06
12/11/2015,28.46,34.21,28.36,33.38
12/14/2015,34.83,38.34,32.16,32.16
12/15/2015,32.89,33.83,25.12,33.11
12/16/2015,32.08,35.18,28.77,29.18
12/17/2015,28.35,32.04,28.14,30.53
12/18/2015,31.35,35.14,30.77,34.17
12/21/2015,34.1,34.18,30.27,30.27
12/22/2015,30.14,30.61,28.84,28.88
12/23/2015,28.93,28.99,26.91,27.04
12/24/2015,27.25,28.04,27.12,27.74
12/28/2015,29.98,31.07,29.55,29.7
12/29/2015,30,30,27.88,28.22
12/30/2015,28.57,29.35,28.5,29.17
12/31/2015,29.8,31.95,29.6,31.82
01/04/2016,35.82,38.73,34.42,34.42
01/05/2016,35.29,38,34.37,36.38
01/06/2016,37.76,39.24,36.79,37.84
01/07/2016,40.16,42.86,38.83,42.36
01/08/2016,40.72,40.72,37.61,40.24
01/11/2016,42.26,43.2,40.69,40.77
01/12/2016,39.36,39.8,37.89,38.11
01/13/2016,38.07,41.21,36.9,41.21
01/14/2016,40.71,43.37,37.05,38.27
01/15/2016,41.09,46.41,40.75,43.01
01/19/2016,41.59,42.49,39.41,40.11
01/20/2016,41.28,45.45,40.96,43.43
01/21/2016,43.5,44.01,39.44,39.63
01/22/2016,38.38,38.87,36.48,37.96
01/25/2016,39.03,42.3,38.7,41.44
01/26/2016,41.84,45.11,37.94,40.36
01/27/2016,33.82,34.51,29.83,32.72
01/28/2016,33.28,34.04,31.44,31.45
01/29/2016,31.44,31.44,27.05,27.4
02/01/2016,29.1,29.45,28.12,28.78
02/02/2016,29.42,30.57,29.22,30.42
02/03/2016,30.36,32.64,28.97,29.12
02/04/2016,29.32,30.34,29.1,29.29
02/05/2016,29.41,33.14,29.41,32.49
02/08/2016,34.3,35.49,32.6,33.13
02/09/2016,34.26,35.32,33.65,34.18
02/10/2016,33.6,34.44,33.05,34.04
02/11/2016,35.04,37.87,34.38,34.99
02/12/2016,34.7,35.92,32.76,32.76
02/16/2016,33.32,33.45,30.42,31.01
02/17/2016,31.22,31.27,29.32,30.03
02/18/2016,29.96,31.28,29.56,30.58
02/19/2016,30.93,30.98,28.93,29.13
02/22/2016,29.12,29.41,26.09,26.11
02/23/2016,26.97,28.85,26.82,28.73
02/24/2016,29.63,30.97,27.06,27.26
02/25/2016,27.36,28.67,26.63,26.63
02/26/2016,25.97,27.36,25.59,26.65
02/29/2016,27.38,27.58,26.31,27.23
03/01/2016,26.45,26.82,24.42,25.03
03/02/2016,24.79,25.93,24.33,24.36
03/03/2016,24.72,25.13,24.1,24.6
03/04/2016,24.43,24.99,23.39,23.6
03/07/2016,24.86,26.32,24.81,25.72
03/08/2016,26.25,26.85,25.22,25.22
03/09/2016,25.08,26.01,24.63,24.67
03/10/2016,24.69,26.2,24.1,25.48
03/11/2016,24.83,25.34,23.83,23.88
03/14/2016,24.47,24.51,22.98,23.09
03/15/2016,23.18,24.57,22.27,23.04
03/16/2016,23.53,25.28,23.24,24.1
03/17/2016,24.58,25.15,24.37,24.44
03/18/2016,24.84,25.08,23.08,23.49
03/21/2016,24.09,24.39,22.99,22.99
03/22/2016,23.52,23.63,22.75,23.4
03/23/2016,23.87,23.96,23.07,23.72
03/24/2016,24.51,24.62,23.83,24.24
03/28/2016,26.05,26.6,25.18,25.3
03/29/2016,25.66,26.15,25.17,25.4
03/30/2016,25.3,26.43,25.18,26.17
03/31/2016,26.57,27.01,26.25,26.71
04/01/2016,27.34,27.5,26.02,26.02
04/04/2016,27.08,28.59,27.08,28.49
04/05/2016,29.42,29.79,28.96,29.62
04/06/2016,29.56,30.53,29.52,29.52
04/07/2016,30.24,32.37,29.98,32.03
04/08/2016,32,32.22,30.49,30.78
04/11/2016,34.03,34.09,32.23,32.83
04/12/2016,33,33.65,31.44,31.44
04/13/2016,31.69,31.98,31.47,31.67
04/14/2016,31.96,32.65,30.6,30.75
04/15/2016,30.72,32.98,30.25,32.16
04/18/2016,32,32.19,31.02,31.57
04/19/2016,32.08,32.7,30.76,30.87
04/20/2016,31.18,31.39,27.55,28.6
04/21/2016,28.89,29.98,28.89,29.64
04/22/2016,30.1,30.36,28.41,28.71
04/25/2016,29.49,30.11,28.65,28.96
04/26/2016,29.31,30.53,28.35,30.53
04/27/2016,24.92,24.92,22.86,24.25
04/28/2016,24.32,28.38,23.49,26.59
04/29/2016,27.93,29.46,27.4,27.7
05/02/2016,27.96,29.32,26.26,26.74
05/03/2016,27.08,27.22,25.1,25.16
05/04/2016,25.41,26.47,24.9,25.46
05/05/2016,25.47,26.81,25.47,26.17
05/06/2016,26.43,27.96,25.87,25.87
05/09/2016,26.63,26.68,25.22,25.4
05/10/2016,25.24,26.06,24.25,24.29
05/11/2016,24.43,24.91,24.15,24.49
05/12/2016,24.69,28.44,24.64,25.97
05/13/2016,26.17,26.22,25.2,25.87
05/16/2016,26.2,26.2,23.67,23.97
05/17/2016,24.04,24.91,23.68,23.81
05/18/2016,23.78,24.34,23.29,23.6
05/19/2016,24.41,24.56,23.55,23.57
05/20/2016,23.45,23.66,22.77,23
05/23/2016,23.27,23.96,22.53,22.68
05/24/2016,22.72,22.92,21.89,21.94
05/25/2016,22,22.52,21.94,22.09
05/26/2016,22.23,23.1,21.7,22.18
05/27/2016,22.52,22.64,21.93,22.04
05/31/2016,23.28,23.46,22.08,22.09
06/01/2016,22.43,22.6,21.94,22.29
06/02/2016,22.71,22.99,22.06,22.39
06/03/2016,22.51,22.54,21.41,21.43
06/06/2016,22.48,22.57,21.64,21.7
06/07/2016,21.73,22.04,21.31,21.43
06/08/2016,21.52,21.69,20.9,20.9
06/09/2016,21.05,21.46,20.82,21.02
06/10/2016,21.53,23.15,21.53,23.13
06/13/2016,23.39,25,23.36,24.37
06/14/2016,24.51,26.35,24.03,24.77
06/15/2016,24.82,24.91,23.53,24.22
06/16/2016,25.19,26.08,24.14,24.17
06/17/2016,25.21,26.16,24.58,25.66
06/20/2016,25.26,25.26,23.52,24.89
06/21/2016,24.9,24.94,23.19,24.09
06/22/2016,24.09,25.47,23.32,25.23
06/23/2016,24.41,25,23.45,23.47
06/24/2016,25.87,28.09,25.46,26.83
06/27/2016,28.5,30.18,28.15,28.15
06/28/2016,27.4,27.53,24.95,25.02
06/29/2016,25,25.06,24.14,24.55
06/30/2016,24.65,24.81,23.16,23.16
07/01/2016,23.37,23.71,22.54,22.8
07/05/2016,24.72,25.27,24.58,24.74
07/06/2016,25.13,25.8,24.47,24.72
07/07/2016,24.57,25.68,24.48,24.51
07/08/2016,24.34,24.74,23.6,23.79
07/11/2016,25.23,25.28,24.25,24.93
07/12/2016,24.59,25.18,23.92,24.09
07/13/2016,23.72,24.62,23.64,24.42
07/14/2016,24.02,24.6,23.71,24.47
07/15/2016,24.18,24.55,23.68,23.68
07/18/2016,23.45,23.9,22.65,23.17
07/19/2016,23.38,23.87,22.9,23.77
07/20/2016,24.07,24.47,23.58,24.47
07/21/2016,24.26,24.93,23.89,24.65
07/22/2016,24.95,25.55,23.67,23.83
07/25/2016,24.74,25.48,24.26,25.37
07/26/2016,25.7,26.39,25.28,26.15
07/27/2016,19.98,19.98,18.39,19.19
07/28/2016,19.23,19.5,18.7,19.39
07/29/2016,19.63,19.94,18.77,18.78
08/01/2016,19.7,20.63,19.44,20.3
08/02/2016,20.62,21.17,20.03,20.48
08/03/2016,20.34,21.23,19.67,20.4
08/04/2016,20.57,20.57,19.7,19.97
08/05/2016,19.82,21.23,19.82,21.22
08/08/2016,22.21,22.6,21.61,21.63
08/09/2016,21.86,21.9,20.56,20.69
08/10/2016,20.82,20.85,20.54,20.57
08/11/2016,20.6,20.68,20.28,20.57
08/12/2016,20.95,21.04,20.18,20.23
08/15/2016,21.01,21.14,20.61,20.76
08/16/2016,20.83,21.61,20.66,20.9
08/17/2016,21.18,21.66,20.63,20.65
08/18/2016,20.74,20.79,20.14,20.31
08/19/2016,20.67,20.98,19.89,19.93
08/22/2016,20.29,21.08,19.78,19.9
08/23/2016,19.98,19.99,19.39,19.79
08/24/2016,20.02,20.9,19.91,20.69
08/25/2016,20.88,21.71,20.73,21.25
08/26/2016,21.38,22.42,20.3,21.39
08/29/2016,22.16,22.65,21.31,21.92
08/30/2016,22.31,22.99,21.72,21.75
08/31/2016,21.95,22.45,21.58,22.45
09/01/2016,22.66,23.35,22.29,22.31
09/02/2016,22.14,22.14,21.02,21.02
09/06/2016,22.2,22.4,21.73,22.03
09/07/2016,22,22.22,20.54,21.16
09/08/2016,21.4,22.14,20.92,22.08
09/09/2016,22.4,23.35,21,23.18
09/12/2016,19.81,21.65,18.36,19.73
09/13/2016,20.38,21.96,20.38,20.89
09/14/2016,21.04,25.34,20.81,22.48
09/15/2016,23.7,24.69,22.44,23.26
09/16/2016,23.39,23.77,21.65,22.12
09/19/2016,22.81,22.82,21.5,21.78
09/20/2016,22.05,22.31,21.39,21.55
09/21/2016,21.83,22.2,20.91,21.02
09/22/2016,21.2,21.49,20.38,20.52
09/23/2016,21,23.5,20.5,22.29
09/26/2016,24.39,24.53,23.55,23.88
09/27/2016,24.13,24.15,22.92,23.03
09/28/2016,23.17,23.47,22.92,22.96
09/29/2016,23.63,25.6,23.47,24.99
09/30/2016,25.22,25.81,23.68,23.97
10/03/2016,25.61,25.78,25.28,25.31
10/04/2016,25.5,26.07,25.31,25.81
10/05/2016,26.02,26.33,25.69,25.95
10/06/2016,26.07,26.24,25.34,25.74
10/07/2016,25.94,26.24,25.71,25.78
10/10/2016,27.11,27.31,26.39,26.45
10/11/2016,26.92,27.86,26.86,27.62
10/12/2016,27.74,27.74,26.71,27.02
10/13/2016,27.38,28.69,27.33,27.81
10/14/2016,27.76,27.92,26.69,26.8
10/17/2016,28.42,28.76,27.92,27.95
10/18/2016,28.23,28.33,27.8,27.88
10/19/2016,28.05,28.21,27.35,27.49
10/20/2016,27.76,27.76,26.92,26.93
10/21/2016,27.26,27.55,26.94,27.54
10/24/2016,27.53,27.66,26.79,27.12
10/25/2016,27.37,29.01,26.33,26.33
10/26/2016,21.03,21.39,20.16,20.4
10/27/2016,20.51,21.31,20.51,21.05
10/28/2016,21.11,22.16,20.22,21.27
10/31/2016,22.04,22.04,20.96,21.09
11/01/2016,21.22,25.14,21.14,23.61
11/02/2016,23.76,23.95,23.39,23.85
11/03/2016,23.95,25.64,23.55,25.47
11/04/2016,25.95,27.12,25.46,26.94
11/07/2016,26.29,26.63,24.3,24.49
11/08/2016,24.56,24.98,23.44,24.37
11/09/2016,23.51,25.04,23.03,23.12
11/10/2016,22.98,27.68,22.82,25.73
11/11/2016,26.31,26.54,24.39,24.62
11/14/2016,25.42,30.29,25.42,27.81
11/15/2016,27.49,27.8,24.96,25.07
11/16/2016,25.33,25.33,23.14,23.74
11/17/2016,24.02,24.34,23.39,23.58
11/18/2016,23.64,23.77,22.49,22.79
11/21/2016,22.49,22.49,19.78,20.06
11/22/2016,20.23,20.39,19.63,19.67
11/23/2016,20.01,20.29,19.63,19.65
11/25/2016,20.13,20.23,19.83,19.84
11/28/2016,20.82,20.95,20.42,20.93
11/29/2016,21.34,21.57,20.39,20.51
11/30/2016,20.63,20.85,20.24,20.72
12/01/2016,20.91,22.17,20.59,21.98
12/02/2016,21.96,22.06,20.44,20.51
12/05/2016,21.26,22.02,20.26,20.26
12/06/2016,20.43,20.43,19.44,19.51
