Date,Open,High,Low,Close
01/05/2015,41.81,43.22,41.81,42.7
01/06/2015,43.07,43.95,42.99,43.35
01/07/2015,43.25,43.85,43.1,43.42
01/08/2015,43.5,43.81,41.75,41.77
01/09/2015,41.9,42.43,41.33,41.38
01/12/2015,46.76,47.8,46.58,46.82
01/13/2015,46.35,48.23,45.43,48.2
01/14/2015,48.16,49.45,48.16,48.2
01/15/2015,47.96,48.89,47.96,48.6
01/16/2015,48.52,48.74,45.54,45.56
01/20/2015,45.27,45.97,44.12,44.17
01/21/2015,43.98,47.66,43.92,45.63
01/22/2015,44.97,45.53,43.39,43.48
01/23/2015,43.39,44.83,43.38,43.82
01/26/2015,44.74,45.36,43.64,44.98
01/27/2015,44.86,47.28,44.83,45.51
01/28/2015,45.08,47.47,44.96,47.03
01/29/2015,46.85,47.86,45.13,45.49
01/30/2015,31.91,33.22,29.33,31.77
02/02/2015,32.02,32.28,31.15,31.59
02/03/2015,31.49,31.5,29.36,29.39
02/04/2015,29.63,29.65,28.72,28.85
02/05/2015,28.34,29.74,28.17,28.59
02/06/2015,28.32,28.38,27.35,27.64
02/09/2015,28.6,28.97,28.24,28.29
02/10/2015,28.19,28.52,27.87,27.87
02/11/2015,28.06,28.55,27.75,27.9
02/12/2015,28,28,26.88,27
02/13/2015,26.96,26.98,26.02,26.02
02/17/2015,27.67,28,26.94,26.94
02/18/2015,26.99,27.12,26.18,26.2
02/19/2015,26.35,26.47,25.88,26.06
02/20/2015,26.83,26.83,24.96,25.29
02/23/2015,26.03,26.22,25.26,25.57
02/24/2015,25.85,26.09,25.37,25.39
02/25/2015,25.41,26.4,24.97,26.23
02/26/2015,26.03,27.29,26.03,26.57
02/27/2015,26.27,26.62,25.6,25.6
03/02/2015,26.43,26.56,25.79,25.79
03/03/2015,25.83,26.01,25.47,25.54
03/04/2015,25.67,26.3,25.67,25.79
03/05/2015,27.29,27.29,25.73,25.87
03/06/2015,25.98,26.38,25.65,26.29
03/09/2015,27.15,27.66,26.6,26.73
03/10/2015,27.32,28.59,27.32,27.8
03/11/2015,27.96,28.21,27.44,27.76
03/12/2015,27.6,27.96,26.95,27.25
03/13/2015,27.19,27.91,26.89,27.37
03/16/2015,27.13,27.72,26.81,26.84
03/17/2015,27.29,27.45,26.71,27.22
03/18/2015,27.57,28.66,26.52,26.63
03/19/2015,27,27.12,26.1,26.33
03/20/2015,26.68,26.77,25.72,26
03/23/2015,28.02,28.29,27.21,27.39
03/24/2015,27.9,28.12,27.78,27.89
03/25/2015,28.15,29.25,28.15,29.07
03/26/2015,29.62,31.62,29.62,30.95
03/27/2015,31.39,31.68,30.86,30.99
03/30/2015,32.98,33.06,32.03,32.08
03/31/2015,32.68,32.9,32.48,32.66
04/01/2015,33.1,34.06,33.1,33.9
04/02/2015,34.25,34.48,33.73,33.74
04/06/2015,36.49,36.75,36.27,36.34
04/07/2015,36.71,36.97,36.29,36.37
04/08/2015,36.67,37.26,36.67,37.21
04/09/2015,37.57,38.17,37.56,38.09
04/10/2015,38.33,39.25,38.2,38.51
04/13/2015,41,41.38,40.64,40.76
04/14/2015,40.46,41.58,39.53,39.68
04/15/2015,39.89,40.23,38.9,39.09
04/16/2015,38.91,40.56,38.91,39.83
04/17/2015,40.47,41.68,40.47,41.29
04/20/2015,41.65,44.6,41.65,42.88
04/21/2015,43.39,43.91,43.06,43.17
04/22/2015,43.52,45.34,43.52,45.13
04/23/2015,45.12,46.53,41.01,41.55
04/24/2015,27.12,28.95,26.14,26.64
04/27/2015,27.33,27.57,24.91,24.91
04/28/2015,25.04,25.36,24.5,24.59
04/29/2015,24.61,25.25,24.45,24.48
04/30/2015,24.7,25.96,24.7,25.83
05/01/2015,25.64,26.51,25.02,25.02
05/04/2015,25.91,26.14,24.5,24.5
05/05/2015,24.91,25.4,24.89,25.38
05/06/2015,25.29,26.15,25.2,25.42
05/07/2015,25.61,26.23,25.29,25.3
05/08/2015,25.14,25.14,23.73,23.99
05/11/2015,24.88,24.88,24.05,24.31
05/12/2015,24.34,25.2,24.34,24.78
05/13/2015,24.66,24.73,24.05,24.05
05/14/2015,24.08,24.15,23.1,23.28
05/15/2015,23.46,23.67,22.72,22.82
05/18/2015,23.34,23.99,23.1,23.29
05/19/2015,23.35,23.75,23.26,23.51
05/20/2015,23.51,24.08,23.51,23.55
05/21/2015,23.73,24.16,23.15,23.2
05/22/2015,23.29,23.43,22.31,22.4
05/26/2015,23.62,23.84,23.59,23.65
05/27/2015,23.81,23.99,23.31,23.36
05/28/2015,23.52,23.93,23.32,23.33
05/29/2015,23.54,23.69,22.82,23.46
06/01/2015,24.26,24.45,23.37,23.37
06/02/2015,23.55,24.08,23.3,23.36
06/03/2015,23.61,24.76,23.46,23.54
06/04/2015,23.82,24.83,23.45,24.06
06/05/2015,24.11,24.72,23.44,23.44
06/08/2015,24.2,24.63,24.11,24.29
06/09/2015,24.22,25.01,24.22,24.5
06/10/2015,24.3,24.5,23.21,23.24
06/11/2015,23.29,23.45,22.93,22.98
06/12/2015,23.13,23.22,22.58,22.58
06/15/2015,22.12,23.08,22.12,22.42
06/16/2015,22.75,22.89,21.74,21.8
06/17/2015,22.26,22.9,22.16,22.24
06/18/2015,22.75,22.88,21.95,22.88
06/19/2015,23.01,23.5,22.03,22.03
06/22/2015,24,24,23.07,23.25
06/23/2015,23.75,26.6,23.69,26.27
06/24/2015,26.6,26.81,25.97,26.31
06/25/2015,26.64,27.45,26.62,27.17
06/26/2015,27.57,28.15,27.55,27.82
06/29/2015,30.22,32.42,30.22,32.3
06/30/2015,32.3,32.59,32.06,32.12
07/01/2015,32.14,32.14,31.59,31.65
07/02/2015,31.9,32.12,31.75,31.75
07/06/2015,34.53,34.67,34.08,34.3
07/07/2015,34.68,36.04,34.62,34.62
07/08/2015,35.07,36.51,35.06,36.42
07/09/2015,36.39,36.72,36.16,36.64
07/10/2015,36.44,36.56,36.17,36.36
07/13/2015,40.96,40.96,39.59,39.79
07/14/2015,40.8,40.8,39.12,39.36
07/15/2015,39.37,39.39,38.65,38.88
07/16/2015,38.29,38.38,37.91,38.05
07/17/2015,37.7,42.48,37.6,41.55
07/20/2015,41.59,46.93,41.59,45.64
07/21/2015,46.11,48.68,45.86,47.53
07/22/2015,47.42,47.81,45.89,46.1
07/23/2015,46.61,49.31,45.74,47.99
07/24/2015,34.09,34.09,29.19,30.21
07/27/2015,30.95,31.49,29.1,29.22
07/28/2015,28.64,29.2,27.41,27.41
07/29/2015,27.43,27.9,26.43,26.57
07/30/2015,26.58,27.54,25.51,25.51
07/31/2015,25.65,25.95,24.48,24.48
08/03/2015,25.55,26.74,25.4,26.03
08/04/2015,26.14,26.6,25.83,25.87
08/05/2015,25.77,26.63,25.52,26.24
08/06/2015,26.16,28.37,26.07,28.3
08/07/2015,28.36,30.1,28.19,28.91
08/10/2015,29.39,29.4,26.48,26.48
08/11/2015,26.4,28.15,26.37,27.76
08/12/2015,27.93,30.71,27.93,28.82
08/13/2015,28.59,29.48,28.55,28.87
08/14/2015,28.7,29.06,27.81,27.81
08/17/2015,28.38,28.72,26.45,26.45
08/18/2015,26.19,27.2,26.19,26.88
08/19/2015,26.98,28.53,26.94,27.42
08/20/2015,27.01,32.74,27.01,32.73
08/21/2015,32.81,39.12,32.81,38.48
08/24/2015,38.48,64.99,38.48,52.17
08/25/2015,44.06,47.66,41.34,47.65
08/26/2015,43,45.63,40.87,41.52
08/27/2015,37.77,40.27,37.25,38.36
08/28/2015,37.71,38.83,35.96,37.67
08/31/2015,37.59,38.36,36.52,37.28
09/01/2015,39.8,46.22,38.94,45.25
09/02/2015,42.14,43.89,40.61,40.61
09/03/2015,38.94,40.51,37.53,39.95
09/04/2015,39.68,42.44,39.68,41.81
09/08/2015,39.82,40.91,39,39.04
09/09/2015,37.06,39.46,36.26,38.56
09/10/2015,38,39.26,37.78,39.1
09/11/2015,38.23,39.31,37.83,37.87
09/14/2015,37.29,38.09,36.38,36.44
09/15/2015,36.4,37.4,34.66,34.8
09/16/2015,34.57,35.3,32.83,32.83
09/17/2015,32.72,35.11,30.81,33
09/18/2015,32.96,35.29,32.78,35.19
09/21/2015,35.96,36.29,33.8,34.26
09/22/2015,34.68,36.81,34.68,34.99
09/23/2015,35.07,36.03,34.99,35.22
09/24/2015,35.75,38.07,35.75,36.5
09/25/2015,35.72,38.95,35.36,38.8
09/28/2015,40.57,50.21,40.57,48.23
09/29/2015,48.17,51.76,47.72,51.24
09/30/2015,49.82,50.43,45.81,46.05
10/01/2015,46.23,47.36,45.67,45.74
10/02/2015,46.97,48.05,43.61,43.67
10/05/2015,44.79,45.4,43.63,44.03
10/06/2015,43.77,46.26,43.64,45.23
10/07/2015,44.77,47.61,44.72,45.89
10/08/2015,46.69,48.43,46.69,47.41
10/09/2015,47.07,47.75,46.32,46.4
10/12/2015,52.38,52.54,49.6,49.64
10/13/2015,49.92,50.44,49.1,49.1
10/14/2015,49.35,50.63,49.35,49.83
10/15/2015,49.41,49.53,46.35,46.8
10/16/2015,46.55,47.21,44.72,44.72
10/19/2015,45.33,47.32,44.07,44.46
10/20/2015,44.73,49.07,44.54,46.29
10/21/2015,46.85,49.46,46.75,48.46
10/22/2015,47.95,50.19,46.6,47.76
10/23/2015,30.7,30.7,26,27.14
10/26/2015,27.48,27.66,24.81,25.03
10/27/2015,25.18,25.46,24.59,24.85
10/28/2015,24.88,25.25,24.05,24.29
10/29/2015,24.49,26.58,24.07,26.05
10/30/2015,26.13,27.01,25.76,25.76
11/02/2015,26.9,27.06,25.66,25.75
11/03/2015,25.75,26.44,25.68,25.7
11/04/2015,25.42,27.43,25.32,26.72
11/05/2015,26.16,30.15,26.16,27.6
11/06/2015,27.73,29.35,27.64,28.4
11/09/2015,29.06,31.08,29.05,30.59
11/10/2015,30.64,30.91,29.56,29.76
11/11/2015,29.32,30.31,29.22,30.22
11/12/2015,30.53,31.38,30.1,30.38
11/13/2015,30.5,33.29,30.24,33.12
11/16/2015,33.89,35.75,32.96,33.49
11/17/2015,33.28,34.3,32.95,32.97
11/18/2015,32.98,32.98,31.47,31.67
11/19/2015,31.65,33.92,31.65,32.26
11/20/2015,31.85,33.76,30.8,30.98
11/23/2015,31.8,32.1,29.62,30.16
11/24/2015,30.35,33.94,30.35,32.22
11/25/2015,31.8,32.06,30.55,30.55
11/27/2015,30.49,31.79,30.47,31.11
11/30/2015,31.32,33.38,30.82,32.29
12/01/2015,31.9,32,28.69,28.69
12/02/2015,28.64,29.74,27.31,29.31
12/03/2015,28.61,32.9,28.59,30.83
12/04/2015,30.79,31.87,28.63,28.95
12/07/2015,29.85,32.11,29.51,30.26
12/08/2015,30.91,32.19,29.73,29.98
12/09/2015,29.9,33.73,29.72,32.57
12/10/2015,32.47,34.8,31.13,31.13
12/11/2015,32.68,36.9,32.47,35.34
12/14/2015,36.71,37.5,33.86,33.96
12/15/2015,32.48,32.54,29.62,31.3
12/16/2015,30.83,31.28,29.72,29.76
12/17/2015,29.34,30.89,29.34,30.64
12/18/2015,30.7,33.68,30.46,32.94
12/21/2015,34.83,34.88,33.63,33.63
12/22/2015,33.97,34.07,32.38,32.38
12/23/2015,32.47,33.45,32.27,32.31
12/24/2015,32.77,32.96,31.56,32.17
12/28/2015,35.14,35.57,34.7,34.8
12/29/2015,34.98,35.83,34.8,35.09
12/30/2015,35.53,36.12,35.45,35.82
12/31/2015,36.41,37.15,36.09,36.44
01/04/2016,41.24,46.62,41.15,45.12
01/05/2016,44.67,45.34,44.05,44.27
01/06/2016,45.49,45.54,43.67,43.77
01/07/2016,45.29,47.48,44.85,47.07
01/08/2016,46.02,46.62,45.02,46.15
01/11/2016,50.63,52.55,49.84,50.17
01/12/2016,48.97,49.37,46.98,47.39
01/13/2016,47.49,54.17,46.78,53.12
01/14/2016,52.54,55.05,47.92,48.49
01/15/2016,51.39,54.32,50.71,52.62
01/19/2016,51.63,52.97,50.81,51.92
01/20/2016,52.32,56.61,52.32,53.48
01/21/2016,53.24,53.89,49.47,51.14
01/22/2016,49.87,49.99,46.49,47.59
01/25/2016,47.99,50.61,47.82,50.28
01/26/2016,49.77,49.9,46,48.39
01/27/2016,48.52,51.18,48.32,50.76
01/28/2016,50.03,51.34,48.62,50.63
01/29/2016,38.85,38.85,33.29,33.42
02/01/2016,35.29,35.58,33.97,34.63
02/02/2016,35.82,38.97,34.99,37.37
02/03/2016,37.39,43.05,37.39,39.54
02/04/2016,40.28,41.24,37.96,38.56
02/05/2016,39.19,44.53,39,44.18
02/08/2016,46.51,50.02,46.18,48.3
02/09/2016,49.94,50.84,48.06,48.67
02/10/2016,47.68,48.03,43.95,44.92
02/11/2016,45.95,47.73,45.59,46.01
02/12/2016,45.05,45.05,39.69,39.69
02/16/2016,40.09,40.53,38.2,38.28
02/17/2016,37.27,38.28,36.5,36.88
02/18/2016,36.27,37.76,36.15,37.55
02/19/2016,38.14,39.04,33.87,33.87
02/22/2016,33.89,34.84,32.63,34.27
02/23/2016,34.36,36.04,34.34,35.67
02/24/2016,36.88,38.72,35.85,35.86
02/25/2016,35.72,36.75,34.98,35.14
02/26/2016,34.16,37.28,34.15,35.96
02/29/2016,36.99,37.28,33.71,34.63
03/01/2016,34.18,35.27,31.41,31.41
03/02/2016,31.41,32.71,31.02,32.3
03/03/2016,32.18,33.78,32.18,33.32
03/04/2016,32.78,33.65,32.49,32.71
03/07/2016,33.95,35.89,33.95,34.31
03/08/2016,34.98,36.48,34.55,35.8
03/09/2016,35.7,36.81,34.76,34.82
03/10/2016,34.18,36.22,33.8,34.6
03/11/2016,33.49,33.49,31.09,31.16
03/14/2016,31.42,31.81,29.72,29.75
03/15/2016,30.87,31.08,29.63,29.77
03/16/2016,30.08,30.47,28.78,29.03
03/17/2016,29.75,31.92,29.75,31.18
03/18/2016,31.16,33.38,31.11,32.58
03/21/2016,34.67,35.92,32.42,32.42
03/22/2016,33.44,34.25,32.38,32.41
03/23/2016,33.05,33.32,32.68,32.74
03/24/2016,33.67,34.25,32.81,32.85
03/28/2016,36.1,36.7,35.24,35.6
03/29/2016,36.23,36.71,35.59,35.62
03/30/2016,35.81,35.81,34.57,34.61
03/31/2016,34.92,35.56,34.86,35.13
04/01/2016,35.97,36.17,34.98,35.02
04/04/2016,36.82,38.76,36.76,38.25
04/05/2016,38.97,40.02,38.77,40.01
04/06/2016,40.31,41.22,40.28,40.65
04/07/2016,41.21,43.05,41.19,42.67
04/08/2016,42.71,43.03,41.94,42.13
04/11/2016,47.86,48.86,47.14,47.83
04/12/2016,47.52,48.4,47.24,47.56
04/13/2016,47.16,47.5,45.7,45.78
04/14/2016,45.21,46.24,44.53,44.63
04/15/2016,44.33,44.62,43,43
04/18/2016,43.7,44.24,41.67,41.69
04/19/2016,41.7,43.79,41.48,41.99
04/20/2016,41.47,43.36,41.45,41.57
04/21/2016,42.31,42.53,41.54,41.87
04/22/2016,41.82,43.46,41.64,43.28
04/25/2016,43.46,43.66,41.43,41.43
04/26/2016,41.51,41.7,40.86,41.4
04/27/2016,41.54,42.77,41.4,42.17
04/28/2016,41.79,43.05,41.14,42.25
04/29/2016,27.29,29.44,26.47,28.14
05/02/2016,28.51,28.79,25.87,26.44
05/03/2016,26.92,27.71,26.8,27.62
05/04/2016,27.94,28.4,26.58,27.91
05/05/2016,27.71,29.46,27.42,28.43
05/06/2016,28.95,28.96,26.6,26.65
05/09/2016,27.53,27.93,26.56,26.56
05/10/2016,26.06,26.74,25.07,26.31
05/11/2016,26.06,27.9,26.06,27.39
05/12/2016,27.47,28.66,27.2,28.48
05/13/2016,28.27,28.82,27.58,27.6
05/16/2016,28.07,28.26,26.47,26.61
05/17/2016,26.7,27.46,26.58,27.21
05/18/2016,27.55,27.62,26.47,26.9
05/19/2016,27.16,27.81,27.12,27.29
05/20/2016,27.26,27.36,25.15,25.15
05/23/2016,26.4,26.52,25.38,25.42
05/24/2016,25.36,25.43,24.52,24.52
05/25/2016,24.32,25.26,23.79,23.8
05/26/2016,23.87,24.34,23.46,23.46
05/27/2016,23.42,23.65,23.04,23.04
05/31/2016,24.34,24.57,24.07,24.21
06/01/2016,24.39,25.29,24.39,24.54
06/02/2016,24.4,24.89,24.05,24.42
06/03/2016,24.47,24.61,23.44,23.45
06/06/2016,24.32,24.74,24.12,24.27
06/07/2016,23.91,24.6,23.91,24.42
06/08/2016,24.35,24.42,23.21,23.22
06/09/2016,23.44,23.71,23.16,23.46
06/10/2016,23.87,24.79,23.87,24.62
06/13/2016,24.39,26.29,24.14,26.09
06/14/2016,26.97,27.65,26.34,26.62
06/15/2016,26.63,27.27,26.41,27.12
06/16/2016,28.06,29.58,26.86,26.93
06/17/2016,27.41,29.5,27.41,28.39
06/20/2016,29.63,29.73,26.9,27.3
06/21/2016,27.64,28.47,27.64,28.25
06/22/2016,29.01,29.91,28.55,29.9
06/23/2016,29.28,29.79,28.32,28.32
06/24/2016,31.69,35.08,30.78,34.28
06/27/2016,35.96,38.4,35.96,36.7
