Date,Open,High,Low,Close
01/05/2015,28.02,28.76,27.98,28.19
01/06/2015,28.17,29.67,28.17,29.2
01/07/2015,29.22,29.62,28.92,28.93
01/08/2015,29.15,29.3,28.2,28.24
01/09/2015,28.12,28.67,28.03,28.07
01/12/2015,30.84,31.4,30.18,30.24
01/13/2015,30.16,30.37,28.79,29.47
01/14/2015,29.77,30.33,28.82,29.76
01/15/2015,29.71,29.98,29.47,29.74
01/16/2015,29.96,29.97,28.19,28.19
01/20/2015,27.95,28.44,27.32,27.42
01/21/2015,27.47,27.74,26.21,26.3
01/22/2015,26.03,26.41,24.88,25.55
01/23/2015,25.23,25.41,24.26,24.6
01/26/2015,25.06,26.04,25.04,25.67
01/27/2015,26.67,28.16,26.65,27.97
01/28/2015,27.56,29.29,27.29,29.08
01/29/2015,29.13,29.49,28.25,28.75
01/30/2015,22.65,22.65,19.69,21.51
02/02/2015,22.51,24.14,22.21,22.37
02/03/2015,22.11,23.09,21.75,21.75
02/04/2015,21.71,21.86,21.24,21.71
02/05/2015,21.49,21.8,20.21,20.31
02/06/2015,20.01,20.32,19.46,20.06
02/09/2015,20.98,21.12,20.27,20.6
02/10/2015,20.24,20.31,18.99,19.59
02/11/2015,19.72,20.73,19.69,20.51
02/12/2015,20.08,20.27,19.21,19.35
02/13/2015,19.24,19.5,17.46,17.46
02/17/2015,18.26,18.66,18.24,18.37
02/18/2015,18.54,19.47,18.51,19.33
02/19/2015,19.59,19.59,18.9,18.91
02/20/2015,19.05,20.22,19,19.12
02/23/2015,20.62,20.67,19.92,20
02/24/2015,20.38,20.45,19.72,19.75
02/25/2015,19.84,19.88,19.2,19.64
02/26/2015,19.9,20.77,19.41,20.56
02/27/2015,20.79,20.93,20.03,20.04
03/02/2015,20.98,22.18,20.86,22.14
03/03/2015,22.47,22.73,22.15,22.15
03/04/2015,22.42,23.52,22.42,22.65
03/05/2015,22.9,22.97,22.53,22.61
03/06/2015,22.93,23.81,22.75,23.23
03/09/2015,24.28,24.41,23.64,23.72
03/10/2015,24.27,25.01,24.25,24.96
03/11/2015,25.25,25.81,25.21,25.39
03/12/2015,25.47,25.53,24.61,24.64
03/13/2015,24.82,24.92,24.55,24.72
03/16/2015,25.71,26.03,25.07,25.08
03/17/2015,25.48,26.04,24.76,25.07
03/18/2015,25.2,26.24,24.62,25.18
03/19/2015,25.37,25.93,24.81,24.95
03/20/2015,24.35,25.64,23.37,23.91
03/23/2015,23.82,24.6,23.37,23.46
03/24/2015,23.5,24.62,23.13,23.15
03/25/2015,23.33,25.25,23.3,25.06
03/26/2015,25.12,27.36,25.12,25.45
03/27/2015,25.38,25.98,25.38,25.53
03/30/2015,26,27.22,25.48,25.48
03/31/2015,25.63,26.81,25.45,25.6
04/01/2015,25.72,26.39,25.67,25.68
04/02/2015,25.77,27.17,25.48,26.2
04/06/2015,26.06,26.53,25.17,25.31
04/07/2015,25.36,25.6,24.72,24.75
04/08/2015,24.97,24.98,24.47,24.56
04/09/2015,24.88,25.33,24.51,24.6
04/10/2015,24.85,25.25,24.14,24.16
04/13/2015,25.42,25.42,24.58,24.62
04/14/2015,24.85,26.15,24.69,25.79
04/15/2015,25.75,26.62,25.71,25.77
04/16/2015,25.83,26.64,25.63,26.01
04/17/2015,26.36,27.38,26.36,27.2
04/20/2015,27.55,27.79,24.65,24.83
04/21/2015,24.78,26.7,24.78,26.64
04/22/2015,26.73,27.34,26.09,26.7
04/23/2015,26.63,27.91,25.46,27.15
04/24/2015,19.53,20.15,17.69,19.74
04/27/2015,19.74,19.74,19.74,19.74
04/28/2015,20.29,20.33,19.72,19.83
04/29/2015,18.09,20.05,18.09,19.09
04/30/2015,19.4,21.77,19.27,21.71
05/01/2015,21.46,21.46,19.96,19.98
05/04/2015,20.42,20.94,19.9,20.05
05/05/2015,20.12,20.96,20.12,20.96
05/06/2015,21.05,22.02,21.05,21.31
05/07/2015,21.42,21.78,20.54,20.8
05/08/2015,20.46,20.46,18.74,18.88
05/11/2015,18.26,18.29,17.53,18.21
05/12/2015,18.79,20.25,18.76,20.21
05/13/2015,17.55,20.03,16.66,19.35
05/14/2015,19.16,19.22,18.16,18.37
05/15/2015,18.47,19.03,17.76,17.84
05/18/2015,19,19.11,17.21,17.33
05/19/2015,17.41,18.49,17.41,18.38
05/20/2015,18.54,19.1,18,18.18
05/21/2015,18.53,18.9,18,18.13
05/22/2015,18.35,18.82,17.75,17.9
05/26/2015,19.57,20.87,19.52,20.62
05/27/2015,20.72,20.81,19.51,19.51
05/28/2015,19.84,19.98,19.42,19.6
05/29/2015,19.89,19.89,19.29,19.32
06/01/2015,20.34,21.5,20.29,21
06/02/2015,21.33,22.15,20.69,20.69
06/03/2015,20.86,20.99,20.26,20.61
06/04/2015,20.9,21.79,20.56,21.67
06/05/2015,21.87,22.23,21.4,21.42
06/08/2015,22.46,22.53,22,22.32
06/09/2015,22.64,23.05,21.9,21.99
06/10/2015,22.11,22.4,20.91,20.92
06/11/2015,21.14,21.24,20.84,20.86
06/12/2015,21.2,21.2,20.75,20.75
06/15/2015,21.56,23.59,21.53,22.88
06/16/2015,23.02,23.42,22.52,22.58
06/17/2015,22.45,23.04,21.76,21.77
06/18/2015,21.84,21.84,20.9,21.13
06/19/2015,21.04,21.13,19.62,20.21
06/22/2015,20.93,21.11,19.97,20.28
06/23/2015,20.29,21.22,20.16,21.13
06/24/2015,21.34,21.99,21.34,21.58
06/25/2015,21.69,22.36,21.65,21.89
06/26/2015,21.87,22.08,21.6,22.02
06/29/2015,23.09,24.91,22.69,24.82
06/30/2015,24.5,24.69,23.87,24.34
07/01/2015,24.22,24.5,23.49,23.71
07/02/2015,23.67,23.67,22.05,22.68
07/06/2015,23.54,25.27,22.32,24.72
07/07/2015,24.68,25.75,24.5,24.56
07/08/2015,24.8,25.86,24.63,25.85
07/09/2015,25.58,25.68,25.1,25.26
07/10/2015,24.72,25.13,24.01,24.01
07/13/2015,24.29,24.81,22.99,23.36
07/14/2015,23.26,24.47,22.26,24.33
07/15/2015,24.49,24.6,23.18,23.25
07/16/2015,22.77,25.59,22.77,25.59
07/17/2015,15.46,16.32,14.48,14.48
07/20/2015,22.3,22.74,21.33,21.65
07/21/2015,21.91,23.04,21.69,22.52
07/22/2015,22.62,23.14,20.72,22.61
07/23/2015,22.82,25.02,22.68,25.02
07/24/2015,25.01,26.43,24.95,25.57
07/27/2015,26.55,26.62,24.4,24.73
07/28/2015,24.78,25.38,23.74,23.75
07/29/2015,23.81,23.83,21.72,21.95
07/30/2015,22.13,22.91,21.15,21.5
07/31/2015,21.32,21.69,20.73,20.82
08/03/2015,21.61,21.61,20.77,21.14
08/04/2015,21.45,21.71,20.93,21.43
08/05/2015,21.37,22.19,21.01,21.65
08/06/2015,21.75,23.86,21.75,22.95
08/07/2015,23.32,24.28,23.12,23.86
08/10/2015,24.49,24.49,23.47,23.9
08/11/2015,25.02,25.95,24.54,24.98
08/12/2015,25.66,28.23,25.66,26.27
08/13/2015,26.43,26.5,24.58,24.94
08/14/2015,25.14,25.14,23.59,23.64
08/17/2015,24.41,24.83,23.5,23.52
08/18/2015,23.65,24,23.51,23.62
08/19/2015,24.23,24.89,23.75,24.06
08/20/2015,25.29,27.14,24.64,27.09
08/21/2015,29.71,33,29.35,33
08/24/2015,47.87,49.69,36.28,43.02
08/25/2015,38.25,43.3,35.38,43.3
08/26/2015,39.26,40.72,35.7,36.14
08/27/2015,34.92,36.4,33.04,33.08
08/28/2015,33.38,34.06,32.63,33.5
08/31/2015,34.95,35.89,33.8,35.46
09/01/2015,38.66,40.81,36.94,40.42
09/02/2015,38.48,39.06,35.12,35.15
09/03/2015,34.53,35.96,33.75,35.59
09/04/2015,36.84,37.37,36.18,36.18
09/08/2015,35.83,36.52,35.13,35.26
09/09/2015,33.64,34.69,33.17,34.56
09/10/2015,34.32,34.77,32.75,33.44
09/11/2015,34.02,34.41,33.19,33.22
09/14/2015,33.79,34.61,33.33,34.12
09/15/2015,33.36,33.94,31.4,31.53
09/16/2015,32.15,32.15,30.22,30.26
09/17/2015,30.45,31.23,28.73,29.99
09/18/2015,31.15,31.15,29.71,30.7
09/21/2015,30.88,30.96,28.93,29.37
09/22/2015,31.05,34.15,31.05,32.91
09/23/2015,33.02,33.37,32.29,32.63
09/24/2015,33.47,35.31,32.87,35.09
09/25/2015,34.5,36.52,34.41,34.9
09/28/2015,36.22,40.97,35.79,38.17
09/29/2015,37.98,40.01,36.69,38.38
09/30/2015,37.25,37.66,35.92,36.09
10/01/2015,35.8,37.07,35.67,36.23
10/02/2015,36.6,37.14,34.77,34.98
10/05/2015,35.95,36.38,34.31,34.47
10/06/2015,32.98,35.63,32.98,35.42
10/07/2015,35.02,36.88,34.99,36.69
10/08/2015,36.04,37.28,35.82,36.47
10/09/2015,36.45,36.81,35.02,35.02
10/12/2015,40.36,40.67,38.21,38.22
10/13/2015,38.52,38.52,36.32,36.93
10/14/2015,36.7,36.82,35.43,35.73
10/15/2015,35.63,35.77,33.4,34.31
10/16/2015,33.69,36.44,33.53,34.46
10/19/2015,33.79,34.72,33.77,34.09
10/20/2015,33.56,36.08,33.56,35.69
10/21/2015,35.41,35.75,34.75,35.05
10/22/2015,34.19,36.26,32.22,32.66
10/23/2015,21.37,25.57,20.99,21.84
10/26/2015,22.32,22.57,20.94,21.04
10/27/2015,21.42,21.75,21.06,21.15
10/28/2015,21.31,22.29,20.28,20.74
10/29/2015,21.08,21.16,20.64,20.76
10/30/2015,20.96,21.17,20.72,20.79
11/02/2015,21.57,21.62,20.47,20.5
