Date,Open,High,Low,Close
01/02/2015,25.24,25.41,24.84,24.88
01/05/2015,26.21,28.31,26.14,27.56
01/06/2015,27.72,30.41,27.59,28.24
01/07/2015,27.65,29.51,27.06,27.4
01/08/2015,26.76,26.76,25.98,26.15
01/09/2015,25.22,26.63,25.22,26.53
01/12/2015,27.8,27.8,26.59,26.99
01/13/2015,26.71,27.88,25.61,26.68
01/14/2015,28.53,30.96,28.05,28.08
01/15/2015,27.46,29.83,27.46,28.67
01/16/2015,26.61,29.57,26.61,27.19
01/20/2015,27.19,27.22,26.04,27.01
01/21/2015,26.38,28.08,24.69,25.31
01/22/2015,24.53,25.99,22.7,22.75
01/23/2015,23.34,23.45,21.78,21.97
01/26/2015,24.17,24.27,22.67,22.79
01/27/2015,25.76,25.76,23.81,24.04
01/28/2015,23.01,26.59,23.01,25.72
01/29/2015,25.6,29.39,25.37,25.46
01/30/2015,26.48,27.63,25.39,26.39
02/02/2015,26.7,27.35,25.96,26.04
02/03/2015,25.11,25.14,23.65,23.72
02/04/2015,24.25,24.66,23.75,24.62
02/05/2015,24.26,24.59,23.73,23.81
02/06/2015,23.09,23.71,22.45,23.29
02/09/2015,24.66,26.16,23.86,23.96
02/10/2015,23.11,24.11,22.5,23.02
02/11/2015,23.16,23.19,22.18,22.46
02/12/2015,22.03,22.39,21.42,22.1
02/13/2015,22.17,22.2,21.26,21.88
02/17/2015,22.4,22.97,20.83,21.62
02/18/2015,21.8,23.12,21.29,21.59
02/19/2015,21.68,22.19,20.35,21.13
02/20/2015,21.29,22.49,19.83,20.37
02/23/2015,21.25,21.31,20.51,20.58
02/24/2015,20.94,20.98,19.81,20.06
02/25/2015,20.41,20.49,18.98,19.77
02/26/2015,19.59,20.15,19.59,19.91
02/27/2015,20.15,20.99,18.92,19.9
03/02/2015,21.34,22.51,20.01,20.04
03/03/2015,20.53,20.92,19.55,20.63
03/04/2015,21.29,23.27,20.74,21.34
03/05/2015,20.64,22.45,20.55,21.67
03/06/2015,22.32,25.59,20.97,23.08
03/09/2015,23.45,24.36,22.94,23.03
03/10/2015,24.75,25.16,24.22,24.92
03/11/2015,24.12,26.93,24.12,25.09
03/12/2015,24.28,24.32,21.96,22.02
03/13/2015,22.76,28.44,21.79,22.7
03/16/2015,22.86,23.21,22.02,22.32
03/17/2015,22.47,23.3,22.15,22.42
03/18/2015,22.86,23.24,20.08,21.15
03/19/2015,20.77,22.45,20.28,21.9
03/20/2015,21.5,22.02,20.54,20.6
03/23/2015,21.63,22.97,20.23,20.88
03/24/2015,21.1,21.32,20.44,20.83
03/25/2015,20.71,22.64,20.71,22.62
03/26/2015,23.04,24.1,22.88,23.18
03/27/2015,23.42,24.82,22.47,22.96
03/30/2015,23.4,23.4,21.58,22.13
03/31/2015,22.26,23.03,21.95,22.96
04/01/2015,25.69,26.86,22.16,22.17
04/02/2015,22.37,22.75,21.49,22.11
04/06/2015,23.6,23.77,22.35,22.68
04/07/2015,22,22.75,21.55,21.91
04/08/2015,22.07,23.61,21.24,22.06
04/09/2015,22.15,22.25,21.25,21.29
04/10/2015,21.21,22.02,20.92,21.29
04/13/2015,21.99,22.15,21.18,21.51
04/14/2015,21.57,22.75,21.1,21.15
04/15/2015,21.08,21.53,20.09,20.82
04/16/2015,18.53,19.8,18.23,19.31
04/17/2015,20.27,20.73,19.66,20.36
04/20/2015,19.41,19.92,18.66,18.83
04/21/2015,18.3,18.92,18.02,18.78
04/22/2015,18.44,18.97,18.36,18.54
04/23/2015,18.61,18.96,18.13,18.31
04/24/2015,18.5,18.82,18.41,18.43
04/27/2015,18.82,19.27,18.46,19.15
04/28/2015,19.23,19.63,18.89,18.96
04/29/2015,18.76,22.83,17.68,18.88
04/30/2015,18.86,21.7,18.77,20.21
05/01/2015,19.79,22.47,19.53,19.87
05/04/2015,20.35,20.43,19.53,19.59
05/05/2015,19.93,20.05,19.27,19.99
05/06/2015,19.82,21.1,19.73,20.7
05/07/2015,20.75,21.46,20.55,20.74
05/08/2015,20.09,20.75,19.19,19.38
05/11/2015,19.34,19.76,18.32,18.68
05/12/2015,19.44,19.91,18.37,19.09
05/13/2015,19.27,19.32,17.74,18.26
05/14/2015,18.23,18.69,17.84,18.18
05/15/2015,17.85,18.76,17.4,17.43
05/18/2015,18.02,18.38,17.63,17.73
05/19/2015,17.85,17.85,17.1,17.47
05/20/2015,17.71,17.9,17.38,17.46
05/21/2015,17.97,18.01,17.34,17.53
05/22/2015,17.71,17.73,16.4,16.52
05/26/2015,18.23,24.24,17.98,18.61
05/27/2015,18.78,18.82,17.88,18.04
05/28/2015,18.3,18.56,17.8,17.8
05/29/2015,18.33,21.07,18.23,18.51
06/01/2015,19.24,19.72,18.33,18.79
06/02/2015,19.56,19.95,19.13,19.52
06/03/2015,19.57,20.39,18.91,19.39
06/04/2015,19.84,21.48,19.52,20.29
06/05/2015,19.58,21.83,19.58,19.85
06/08/2015,20.89,21.26,20.53,20.99
06/09/2015,21.01,21.71,20.92,21.26
06/10/2015,21.48,21.7,20.02,20.02
06/11/2015,19.95,20.05,19.53,19.74
06/12/2015,20.15,20.72,19.77,20.03
06/15/2015,20.91,21.7,20.89,20.95
06/16/2015,21.39,21.51,20.72,20.76
06/17/2015,20.71,21.43,20.43,20.55
06/18/2015,20.48,20.9,19.57,19.79
06/19/2015,19.96,20.01,19.2,19.57
06/22/2015,19.22,20.16,18.43,18.52
06/23/2015,18.8,19.01,18.32,18.79
06/24/2015,19.34,19.98,19.26,19.76
06/25/2015,19.82,20.93,19.68,20.86
06/26/2015,20.95,21.01,20.49,21.01
06/29/2015,22.58,26.05,22.33,25.01
06/30/2015,23.87,25.3,23.85,24.52
07/01/2015,23.66,24.51,23.66,24.14
07/02/2015,24.11,24.3,23.67,24.04
07/06/2015,25.65,25.86,24.8,25.06
07/07/2015,25.3,28.35,25.29,25.38
07/08/2015,26.18,29.63,25.94,27.27
07/09/2015,26.61,26.89,25.88,26.54
07/10/2015,25.8,26.76,24.56,24.57
07/13/2015,23.02,23.75,21.76,21.91
07/14/2015,22.3,23.04,20.27,20.83
07/15/2015,21.1,21.16,20.26,20.32
07/16/2015,17.74,19.17,16.8,17.4
07/17/2015,17.18,17.54,16.09,16.16
07/20/2015,17.53,19.52,16.39,17.64
07/21/2015,17.86,18.22,17.26,17.71
07/22/2015,18.05,18.54,17.19,18.29
07/23/2015,18.37,24.07,17.45,18.79
07/24/2015,19.41,23.25,19.07,20.82
07/27/2015,22.78,24.07,22,22.78
07/28/2015,22.05,22.9,21.16,21.16
07/29/2015,21.64,23.02,20.35,20.41
07/30/2015,20.62,21.69,19.6,19.6
07/31/2015,20.03,21.73,19.57,20.01
08/03/2015,20.63,24.09,20.23,20.23
08/04/2015,20.51,21.07,19.84,20.07
08/05/2015,19.86,20.89,19.15,19.76
08/06/2015,20.14,22.17,19.68,20.85
08/07/2015,20.34,21.71,20.12,21.28
08/10/2015,20.99,21.75,19.37,19.56
08/11/2015,20.44,23.21,20.37,22.09
08/12/2015,23.41,27.63,22.94,22.94
08/13/2015,23.05,23.48,21.92,22.24
08/14/2015,21.88,22.59,21.29,21.29
08/17/2015,21.99,22.53,21.05,21.05
08/18/2015,21.13,21.55,20.99,21.16
08/19/2015,21.69,22.65,21.45,21.93
08/20/2015,24.28,26.15,23.19,25.44
08/21/2015,27.31,35.02,26.76,35.02
08/24/2015,31.15,52.76,31.15,45.84
08/25/2015,39.04,44.21,34.82,43.43
08/26/2015,41.01,43.72,37.78,41.2
08/27/2015,35.12,35.66,32.5,33.1
08/28/2015,33.16,34.35,32.81,34
08/31/2015,34.47,36.47,34.18,35.21
09/01/2015,40.33,41.04,37.52,40.56
09/02/2015,39.94,40.19,36.74,36.74
09/03/2015,35.32,35.41,32.76,33.8
09/04/2015,35.32,38.31,35.24,37.71
09/08/2015,35.99,36.48,34.83,34.85
09/09/2015,32.15,35.36,31.91,34.39
09/10/2015,33.73,35.58,33.73,34.5
09/11/2015,36.13,36.84,33.36,33.36
09/14/2015,34.72,35.52,34.21,34.25
09/15/2015,33.75,34.66,30.4,31.02
09/16/2015,30.76,31.66,29.09,29.57
09/17/2015,28.69,30.1,26.64,29.24
09/18/2015,30.77,32.05,29.71,30.97
09/21/2015,29.22,30.21,28.24,28.41
09/22/2015,30.27,31.66,30.08,31.23
09/23/2015,30.57,32.08,30.42,31.03
09/24/2015,33.05,34.07,32.25,32.52
09/25/2015,30.88,32.29,30.13,31.67
09/28/2015,33.35,36.17,33.32,36.02
09/29/2015,35.7,47.76,35.58,36.02
09/30/2015,33.41,34.54,33.1,34.02
10/01/2015,32.63,34.03,32.55,32.87
10/02/2015,33.9,36.13,31.91,31.91
10/05/2015,31.61,31.96,29.37,29.43
10/06/2015,29.6,30.01,29.31,29.4
10/07/2015,27.96,29.38,27.96,28.31
10/08/2015,28.83,28.97,27.66,27.76
10/09/2015,27.35,28.75,27.35,27.66
10/12/2015,27.72,30.19,27.15,27.45
10/13/2015,27.59,29.37,26.82,27.46
10/14/2015,26.83,28.79,15.53,28.11
10/15/2015,28.92,29.66,21.82,23.92
10/16/2015,23.16,23.34,20.98,21.05
10/19/2015,22.74,23.86,20.69,20.69
10/20/2015,21.95,22.64,21.33,22.57
10/21/2015,22.09,24.33,21.94,24.33
10/22/2015,23.75,24.09,23.41,23.63
10/23/2015,21.76,22.78,21.7,22.05
10/26/2015,22.89,23.82,21.76,21.99
10/27/2015,22.6,22.99,21.39,22.46
10/28/2015,21.25,23.18,20.92,21.52
10/29/2015,21.78,22.83,21.75,22.74
10/30/2015,22.84,23.7,22.65,22.93
11/02/2015,23.56,23.8,22.64,22.68
11/03/2015,23.4,23.59,22.69,22.73
11/04/2015,23.23,26.25,22.51,23.04
11/05/2015,23.26,25.28,22.89,23.48
11/06/2015,22.51,23.5,22.2,23.46
11/09/2015,24.54,25.07,24.52,25.06
11/10/2015,25.27,28.42,24.2,24.46
11/11/2015,24.22,25.22,23.95,24.01
11/12/2015,24.76,26.74,24.61,26.74
11/13/2015,26.81,27.43,26.22,27.02
11/16/2015,27.74,30,26.61,26.8
11/17/2015,27.46,27.76,26.48,26.82
11/18/2015,25.8,27.24,25.37,25.38
11/19/2015,24.91,25.39,24.73,24.79
11/20/2015,24.59,25.71,23.61,23.78
11/23/2015,24.53,27.1,23.81,26
11/24/2015,23.94,28.72,23.92,24.86
11/25/2015,24.85,26.41,24.35,25.48
11/27/2015,24.95,24.97,23.94,24.06
11/30/2015,24.99,26.54,24.31,24.83
12/01/2015,24.75,27.18,24.18,24.21
12/02/2015,23.93,25.23,23.93,25.07
12/03/2015,24.63,31.23,24.58,28.56
12/04/2015,26.98,27.02,24.12,24.67
12/07/2015,25.1,27.95,24.95,26.48
12/08/2015,26.09,28.12,26.09,27.84
12/09/2015,28.13,29.81,27.54,28.86
12/10/2015,29.21,29.6,27.67,27.94
12/11/2015,29.72,36.16,29.55,35.56
12/14/2015,36.56,40.97,34.9,35.06
12/15/2015,33.71,37.05,29.5,29.88
12/16/2015,28.31,33.71,26.08,27.08
12/17/2015,25.86,29.7,24.81,26.91
12/18/2015,26.91,32.19,26.91,32.19
12/21/2015,31.92,31.92,28.91,30.22
12/22/2015,28.77,30.37,26.93,27.56
12/23/2015,28.25,28.49,25.49,25.55
12/24/2015,25.43,26.03,24.97,25.36
12/28/2015,26.43,27.6,26.43,26.75
12/29/2015,26.65,26.65,25.29,25.59
12/30/2015,26.66,26.67,25.26,26.29
12/31/2015,26.28,29.31,25.71,26.63
01/04/2016,30.71,34.57,29.91,30.24
01/05/2016,30.21,33.98,30.18,30.65
01/06/2016,32.19,37.84,29.7,31.35
01/07/2016,32.85,35.23,32.3,34.96
01/08/2016,34.18,35.96,33.16,35.12
01/11/2016,36.73,39.92,34.01,34.79
01/12/2016,34.62,37.9,32.92,33.27
01/13/2016,32.55,37.74,32.35,36.99
01/14/2016,37.2,38.8,34.37,34.66
01/15/2016,38.59,44.13,37.04,39.38
01/19/2016,39.95,40.4,35.55,36.14
01/20/2016,36.51,43.25,35.56,39.01
01/21/2016,38.77,39.35,34.96,35.6
01/22/2016,35.1,40.79,31.09,31.52
01/25/2016,32.45,34.4,32.44,34.4
01/26/2016,34.24,34.84,32.63,32.86
01/27/2016,34,34,31.27,33.6
01/28/2016,33.61,35.12,32.13,32.65
01/29/2016,32.29,33.1,30.63,30.72
02/01/2016,32.05,34.14,30.75,30.92
02/02/2016,34.05,41.19,33.31,37.05
02/03/2016,37.06,44.57,37.06,37.7
02/04/2016,37.75,37.82,34.68,35.83
02/05/2016,35.92,38.11,35.08,37.96
02/08/2016,40.39,46.7,40.39,44.53
02/09/2016,48.25,48.25,44.92,45.28
02/10/2016,44.35,45.23,41.72,43.64
02/11/2016,47.33,52.16,47.33,50.84
02/12/2016,49.02,49.08,44.98,45.06
02/16/2016,44.54,45.13,41.7,41.87
02/17/2016,39.55,40.28,36.98,37.01
02/18/2016,36.46,37.83,36.38,36.91
02/19/2016,38.06,38.15,35.42,35.75
02/22/2016,35.68,35.68,32.87,32.95
02/23/2016,33.57,36.65,33.57,35.01
02/24/2016,36.58,46.73,36.54,37.05
02/25/2016,36.81,38.05,34.92,35.03
02/26/2016,34.34,36.15,33.24,34.31
02/29/2016,34.88,35.37,34,34.75
03/01/2016,33.05,33.93,31.52,31.52
03/02/2016,31.54,32.65,30.87,30.87
03/03/2016,30.68,31.17,29.74,29.93
03/04/2016,29.76,29.94,28.18,29.17
03/07/2016,30.12,31.77,30.12,30.46
03/08/2016,30.49,31.95,30.49,31.95
03/09/2016,31.71,33.37,31.71,32.52
03/10/2016,32.28,33.83,31.64,32.97
03/11/2016,33.65,33.65,29.71,29.71
03/14/2016,30.54,31.08,29.26,29.9
03/15/2016,30.75,31.32,30.17,30.34
03/16/2016,31.1,31.12,27.82,29.12
03/17/2016,29.34,30.16,27.32,27.82
03/18/2016,27.4,28.03,25.57,25.71
03/21/2016,26.29,27.87,25.19,26.04
03/22/2016,27.05,27.66,26.75,27.17
03/23/2016,27.49,28.06,27.18,27.95
03/24/2016,29.14,30.16,28.41,28.71
03/28/2016,30.43,31.17,28.9,29.03
03/29/2016,29.86,30.27,28.01,28.16
03/30/2016,28.17,28.38,27.01,27.13
03/31/2016,27.55,27.89,26.7,26.98
04/01/2016,27.49,28.9,26.09,26.09
04/04/2016,27.48,27.78,26.9,27.37
04/05/2016,28.57,29.57,28.23,29.51
04/06/2016,29.83,30.26,29.31,29.82
04/07/2016,30.89,33.01,30.89,32.38
04/08/2016,32.33,32.36,30.99,32.04
04/11/2016,33.65,34.02,31.66,31.91
04/12/2016,32.04,32.47,30.61,30.75
04/13/2016,30.08,30.24,27.04,27.55
04/14/2016,28.28,28.34,27.06,27.16
04/15/2016,26.94,27.83,26.39,27.16
04/18/2016,28.42,30.16,27.78,29.17
04/19/2016,26.91,26.98,23.7,23.81
04/20/2016,23.85,23.91,22.35,22.39
04/21/2016,22.76,23.86,22.4,23.62
04/22/2016,23.85,24.17,23.29,23.37
04/25/2016,24.8,25.59,24.63,24.88
04/26/2016,25.02,25.36,24.14,24.4
