Date,Open,High,Low,Close
01/02/2015,23.53,24.53,23.39,24.08
01/05/2015,26.91,26.91,25.79,26.49
01/06/2015,26.28,28.29,26.23,27.62
01/07/2015,28.3,28.61,27.55,27.84
01/08/2015,27.87,27.87,25.95,25.97
01/09/2015,26.74,27.76,26.05,26.51
01/12/2015,29.63,30.12,29.34,29.75
01/13/2015,29.75,31.33,28.81,29.81
01/14/2015,29.81,31.35,29.81,29.98
01/15/2015,29.72,31.02,29.25,30.54
01/16/2015,31.15,31.15,28.77,29.1
01/20/2015,29.1,29.97,27.85,28.89
01/21/2015,23.2,24.34,20.53,20.75
01/22/2015,20.85,20.89,18.56,18.65
01/23/2015,18.88,19.24,17.79,18.15
01/26/2015,17.94,19.02,17.94,18.71
01/27/2015,19.8,21.71,19.42,20.22
01/28/2015,20.19,21.22,20.02,21.18
01/29/2015,21.63,23.86,21.17,21.31
01/30/2015,22.3,22.79,21.74,22.75
02/02/2015,22.75,25.16,22.75,23.27
02/03/2015,23.17,23.17,21.45,21.74
02/04/2015,21.74,22.37,21.68,21.85
02/05/2015,21.8,21.92,21.11,21.2
02/06/2015,21.48,21.9,20.81,21.19
02/09/2015,22.43,22.54,21.91,22.21
02/10/2015,22.03,22.53,21.01,21.06
02/11/2015,21.49,21.59,20.99,21.11
02/12/2015,21.16,21.2,20.54,20.58
02/13/2015,20.41,20.52,19.82,19.85
02/17/2015,21.25,21.47,19.99,20.05
02/18/2015,19.86,20.16,19.27,19.34
02/19/2015,18.98,20.59,18.34,18.58
02/20/2015,19.31,19.31,18.11,18.21
02/23/2015,19.04,19.04,18.2,18.3
02/24/2015,18.45,18.86,18.37,18.45
02/25/2015,18.7,19.54,18.7,19.44
02/26/2015,19.08,19.62,18.77,19.26
02/27/2015,19,19.31,18.17,18.18
03/02/2015,19.12,19.95,18.91,19.95
03/03/2015,19.69,19.73,19.13,19.28
03/04/2015,19.9,20.64,19.7,19.73
03/05/2015,20.76,20.76,19.01,19.04
03/06/2015,19.78,20.57,19.39,20.42
03/09/2015,21.15,21.15,20.33,20.46
03/10/2015,20.75,21.44,20.67,21.29
03/11/2015,21.85,21.98,21.19,21.6
03/12/2015,22.26,22.31,21.42,21.45
03/13/2015,21.9,22.77,21.49,22.34
03/16/2015,22.74,22.77,20.52,20.8
03/17/2015,21.48,21.53,20.53,20.67
03/18/2015,21.04,21.53,19.71,20.1
03/19/2015,20.24,20.39,19.63,19.88
03/20/2015,19.22,19.56,18.49,18.71
03/23/2015,19.92,19.92,19.01,19.59
03/24/2015,19.76,20.42,19.59,20.27
03/25/2015,20.51,21.81,20.47,21.78
